Site_ID,Waterbody,flux_CO2_CC,std_error1,flux_CO2_VP,std_error2,flux_CO2_H,std_error3,flux_CO2_dugouts,std_error4,flux_CH4_CC,std_error5,flux_CH4_VP,std_error6,flux_CH4_H,std_error7,flux_CH4_dugouts,std_error8,flux_N2O_CC,std_error9,flux_N2O_VP,std_error10,flux_N2O_H,std_error11,flux_N2O_dugouts,std_error12
D10E,Reservoir,5.168146536,1.740271025,7.801941145,2.627149215,1.105622831,0.372296599,1.777585202,0.598566623,0.111823982,0.000774514,0.168811801,0.001169222,0.023922531,0.000165692,0.039953747,0.000276727,-1.761475504,0.080161268,-2.659159936,0.121013112,-0.376832878,0.017148919,-0.641139296,0.029176982
D14A,Reservoir,-2.441563585,0.360662664,-3.685835001,0.544463834,-0.522324285,0.07715665,-0.94608501,0.139753698,0.189261104,0.001197581,0.285712486,0.001807893,0.040488674,0.000256199,0.075666362,0.000478791,1.052469502,0.04800311,1.588829778,0.07246649,0.225155054,0.010269317,0.431654954,0.019687773
D20,Reservoir,35.79774663,11.79936134,54.04102038,17.81256047,7.65822054,2.524240207,14.22497879,4.688721515,0.744802749,0.097889726,1.12436967,0.147776359,0.159335831,0.020941573,0.30492478,0.040076387,-2.517082334,0.109535099,-3.79983967,0.165356456,-0.538480029,0.02343287,-1.059163861,0.046091309
D31A,Reservoir,37.9938032,0.509046138,57.35623291,0.768466603,8.128023451,0.108900363,14.05857461,0.188358693,1.56443979,0.015961675,2.361710738,0.024096076,0.33468098,0.003414685,0.59883438,0.006109791,-3.088499489,0.041071154,-4.662462852,0.062001865,-0.660723438,0.008786362,-1.20908961,0.016078586
D31B,Reservoir,-23.9945478,0.908237755,-36.22266676,1.371094542,-5.133159379,0.194299521,-8.941320539,0.338445423,2.645425316,0.016304424,3.993588896,0.024613496,0.565936474,0.003488009,1.019365507,0.006282607,-2.66941712,0.040693184,-4.02980742,0.061431273,-0.571069046,0.008705503,-1.052449587,0.016043774
D31C,Reservoir,33.42307749,0.794865506,50.45617063,1.199945446,7.150207002,0.170045769,12.67711324,0.301486302,12.98229567,0.027609173,19.59834266,0.04167938,2.777305633,0.005906437,5.086671197,0.010817716,-9.658602391,0.156578342,-14.58082639,0.236373911,-2.066267131,0.033496842,-3.876499679,0.062843035
D44B,Reservoir,-10.46902764,1.189369557,-15.80426115,1.795496938,-2.2396416,0.254442115,-3.328725094,0.378171156,1.990968994,0.187711909,3.005608065,0.283373789,0.425928475,0.040157254,0.660596923,0.06228219,-2.598093684,0.194280095,-3.922136083,0.293289259,-0.555810806,0.041562387,-0.874900018,0.065423221
D5,Reservoir,1.433898346,0.215466952,2.164642667,0.325273377,0.306754218,0.046094897,0.426089769,0.064027038,-0.000623865,9.34E-05,-0.0009418,0.00014098,-0.000133464,2.00E-05,-0.000194236,2.91E-05,-1.655290822,0.035867442,-2.498861338,0.054146234,-0.354116763,0.00767313,-0.521219909,0.011293982
D52,Reservoir,-12.03212658,0.555372749,-18.16394771,0.838402214,-2.574035732,0.118811026,-4.904377205,0.226373736,3.431244559,0.101145615,5.179877914,0.152691517,0.734046973,0.021638106,1.438853599,0.04241427,-3.973685349,0.170351669,-5.998757776,0.257166411,-0.850091462,0.036443374,-1.716311352,0.073578172
D56A,Reservoir,-14.29238994,1.510511219,-21.57608812,2.280299049,-3.057574414,0.323144028,-5.40179263,0.570896009,0.290926528,0.001450877,0.439188718,0.002190273,0.062237982,0.000310386,0.11360888,0.000566578,-2.176050057,0.142560111,-3.285010274,0.215211699,-0.465522912,0.030497919,-0.870241166,0.057012327
D56C,Reservoir,23.48809094,0.176737797,35.45810898,0.266807042,5.02481294,0.037809559,9.233034219,0.069474617,0.454682859,0.005185083,0.686398669,0.007827509,0.097270413,0.001109246,0.184259182,0.002101243,-3.397972617,0.112815163,-5.129649902,0.170308108,-0.726929099,0.024134575,-1.414127542,0.046950063
D56D,Reservoir,35.21941921,0.913848917,53.16796533,1.37956527,7.534498817,0.195499919,11.50716686,0.298579937,0.543111909,0.003648481,0.819892996,0.005507823,0.116188061,0.00078052,0.184878694,0.001241966,-4.182620223,0.162582727,-6.314170193,0.245438255,-0.89478895,0.034781362,-1.446899956,0.056242482
